,mse_test_0.95,mse_test_0.9,mse_test_0.85,mse_test_0.8,mse_test_0.75,mse_test_0.7,mse_test_0.65,mse_test_0.6
0,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
1,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
2,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
3,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
4,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
5,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
6,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
7,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
8,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
9,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
10,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
11,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
12,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
13,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
14,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
15,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
16,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
17,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
18,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
19,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
20,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
21,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
22,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
23,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
24,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
25,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
26,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
27,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
28,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
29,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
30,0.0061681736,0.00482747,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
31,0.0061681736,0.00482747,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
32,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
33,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
34,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
35,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
36,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
37,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
38,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
39,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
40,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
41,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
42,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
43,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
44,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
45,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
46,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
47,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
48,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
49,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
50,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
51,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
52,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
53,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
54,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
55,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
56,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
57,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
58,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
59,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
60,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
61,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
62,0.0061681736,0.00482747,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
63,0.0061681736,0.00482747,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
64,0.0061683008,0.004827561,0.0042937417,0.0040496867,0.003926815,0.0037714755,0.0034795215,0.0034450744
65,0.0061682486,0.004827602,0.0042936513,0.0040497296,0.003926821,0.0037715426,0.0034795166,0.003445127
66,0.0061684134,0.004827722,0.0042939004,0.004049536,0.0039267656,0.0037714192,0.0034795955,0.0034450388
67,0.006168237,0.004827464,0.0042936592,0.004049766,0.003926845,0.0037715025,0.0034794803,0.0034450905
68,0.0061686807,0.004827938,0.0042942776,0.0040492443,0.00392667,0.0037712366,0.0034797213,0.003444909
69,0.00623059,0.004843744,0.0042893244,0.004082287,0.003937322,0.003781647,0.003483713,0.0034675582
70,0.0062672766,0.004851979,0.0042804806,0.0041053197,0.003938967,0.0037894403,0.0034835276,0.003477147
71,0.0063487967,0.0048978864,0.0042686295,0.00413893,0.0039580944,0.0037794267,0.003504964,0.0034910252
72,0.0063523687,0.0049190647,0.004276311,0.004147515,0.003962874,0.003785153,0.0035024087,0.0035078682
73,0.006335063,0.0050361413,0.0042884056,0.00413141,0.003966605,0.0037593432,0.0035291396,0.0035070225
74,0.0063575273,0.0050261565,0.004273896,0.0041401484,0.003986213,0.0037601849,0.0035375434,0.003512875
75,0.0063998713,0.005014413,0.0042622737,0.0041825995,0.003980057,0.0037676038,0.003525398,0.003521239
76,0.0064541698,0.005089152,0.004289226,0.004202986,0.0039739725,0.003746861,0.00353633,0.0035267354
77,0.0063814386,0.0050067645,0.0042443075,0.0042410884,0.0040151775,0.0037648242,0.0035121185,0.0035441408
78,0.00637736,0.0050750044,0.0042253486,0.00428605,0.004015378,0.0037667644,0.0035112686,0.0035613624
79,0.0063531506,0.0051489263,0.004250581,0.004253846,0.0040335245,0.0037149733,0.0035477905,0.003536374
80,0.0063113654,0.005156103,0.004219317,0.0042737857,0.0040612696,0.00373078,0.003548326,0.0035604518
81,0.006204423,0.0051178425,0.0042285803,0.004232369,0.00404392,0.003748072,0.0035276224,0.0035537377
82,0.006146381,0.0052231443,0.004276748,0.004202471,0.004043995,0.003711631,0.0035526117,0.0035433087
83,0.00615791,0.0052143913,0.0042945715,0.0042143217,0.0040382305,0.003726998,0.0035418554,0.0035585817
84,0.006174955,0.005271457,0.0043132454,0.004205846,0.0040637553,0.00371361,0.003565648,0.0035729664
85,0.0061854366,0.005267798,0.004375155,0.004147559,0.004061815,0.0037072974,0.0035666928,0.0035754025
86,0.006192303,0.0052617416,0.0043725357,0.004134841,0.0040664114,0.0037016126,0.003572812,0.003568386
87,0.0062268157,0.0051840614,0.004384306,0.0041043404,0.0040697632,0.003702977,0.0035710619,0.003555891
88,0.006275957,0.005191752,0.0043821894,0.0041230074,0.004047574,0.0037182039,0.0035607365,0.003566968
89,0.0063580815,0.0051914398,0.0043753795,0.004148629,0.004030208,0.0037195575,0.0035613019,0.003563731
90,0.0063381707,0.005138379,0.004331877,0.0042066295,0.004065866,0.0037259301,0.0035450826,0.0035775746
91,0.006267585,0.0051628067,0.00433544,0.0041906848,0.004058923,0.0037291083,0.003538644,0.0035789749
92,0.006320073,0.0051773097,0.0042940523,0.004233177,0.004051205,0.0036965704,0.0035533495,0.0035427562
93,0.006287397,0.0051731244,0.004267899,0.0042404262,0.0040621157,0.0037108855,0.0035540382,0.0035529197
94,0.0061966293,0.005211945,0.0042527546,0.0042256294,0.004040495,0.0037288354,0.003548771,0.0035668542
95,0.0061681736,0.00482747,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
96,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
97,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
98,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
99,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
100,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
101,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
102,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
103,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
104,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
105,0.0061685825,0.004827908,0.004293925,0.0040495824,0.0039266744,0.0037714087,0.0034796207,0.0034450286
106,0.0061688963,0.0048284107,0.004294136,0.004049411,0.0039265035,0.0037713654,0.0034797688,0.0034450078
107,0.006168903,0.0048282566,0.0042940453,0.0040495866,0.00392651,0.0037713565,0.0034796915,0.003444988
108,0.0061686803,0.004828017,0.0042939964,0.0040495424,0.003926628,0.003771379,0.0034796542,0.0034450076
109,0.006168854,0.004828231,0.0042942567,0.004049305,0.003926558,0.0037712757,0.003479763,0.0034449394
110,0.0062132273,0.0048506306,0.004288043,0.004068376,0.003921766,0.00377226,0.003482076,0.0034441624
111,0.0062566153,0.0048738667,0.0042780354,0.004118194,0.0039247745,0.0037817901,0.003496419,0.0034691675
112,0.0064102984,0.004945715,0.004244445,0.0041949577,0.003979775,0.0037801585,0.003549366,0.0035172019
113,0.006320053,0.0049320715,0.0042597386,0.0041380157,0.0039875717,0.0037718473,0.0035517854,0.003500979
114,0.0063359425,0.005096858,0.004269477,0.0041285614,0.0041077766,0.003733365,0.0036358887,0.0035572038
115,0.006283605,0.005055588,0.0042996886,0.0041212295,0.0041067647,0.003763107,0.0036260015,0.0035791083
116,0.0062614847,0.0050304597,0.004306629,0.0041351896,0.00407896,0.0037820167,0.0036249317,0.003589024
117,0.0061156293,0.0049926518,0.004389751,0.004115423,0.0040694205,0.003768225,0.0036598216,0.0036012141
118,0.006164117,0.004991847,0.0044446075,0.0041146097,0.004068227,0.0037771168,0.003662104,0.0036394312
119,0.0061386614,0.0048122993,0.0045947954,0.0040930603,0.0039672586,0.0038276163,0.0036340465,0.0036648174
120,0.006249185,0.004650798,0.004665213,0.0040852814,0.0038495697,0.0038154824,0.0035827875,0.0036444718
121,0.006495724,0.0047283447,0.004646473,0.004061231,0.0038266054,0.0038165892,0.0035567791,0.0036614274
122,0.006450623,0.004724844,0.0044785035,0.0040879427,0.003832721,0.0037978305,0.0035160375,0.0035852324
123,0.006531963,0.004633522,0.004454337,0.004090619,0.0037989577,0.0037553706,0.003474631,0.0035299468
124,0.0064548473,0.0045769447,0.0044615557,0.0041128467,0.0037866863,0.003785219,0.0034957072,0.003546853
125,0.006299836,0.0045889257,0.0045032245,0.004080169,0.0038028117,0.0038052467,0.0035226808,0.0035494396
126,0.0060736625,0.0046362663,0.00458697,0.003988006,0.0038451003,0.0038086656,0.003523607,0.003564672
127,0.0060895146,0.0047036447,0.0046048993,0.003962045,0.00385348,0.0038191257,0.0035393694,0.003600858
128,0.0060600233,0.004784989,0.0046472824,0.003898206,0.0038875872,0.003829372,0.0035201418,0.0035981142
129,0.005434532,0.0045512086,0.004001796,0.0039425055,0.0036140697,0.003429673,0.00346725,0.0033452571
130,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
131,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
132,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
133,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
134,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
135,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
136,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
137,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
138,0.0061681736,0.0048274705,0.004293558,0.004049826,0.003926859,0.0037715675,0.003479464,0.0034451406
139,0.0061678262,0.004827189,0.0042934837,0.004050046,0.003926829,0.0037716131,0.003479535,0.0034451254
140,0.006168183,0.0048271692,0.0042935805,0.0040499293,0.003926753,0.0037715747,0.0034794402,0.0034451117
141,0.0061678,0.0048272656,0.004293515,0.0040499186,0.003926854,0.0037715784,0.0034794423,0.0034450998
142,0.0061684884,0.004827219,0.004293606,0.004049862,0.0039267214,0.0037715705,0.0034793643,0.003445084
143,0.006167395,0.0048273937,0.004293377,0.0040499954,0.0039269836,0.0037716234,0.0034794917,0.0034450847
144,0.0061092526,0.0047731306,0.0043530427,0.0040400713,0.003922343,0.0037736518,0.0034821958,0.0034593225
145,0.006068901,0.0047594523,0.0043862234,0.0040261745,0.003924791,0.0037824907,0.0034767073,0.0034661281
146,0.0060272217,0.004729356,0.0044267513,0.004019407,0.003922383,0.0037884642,0.0034785436,0.0034771822
147,0.0059658233,0.004708882,0.004434255,0.0040218476,0.0039096307,0.003803353,0.0034952443,0.0034939593
148,0.005954719,0.0046835737,0.0044530253,0.0040204674,0.0039050204,0.0037994292,0.00349795,0.003498058
